Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
micuenta01.github.io,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
freedomtonight.com,0,0,1,3,0,0,1,0,1,1,1,1,1,1,1,1
myshedbuilder.com,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,1
secure-monitor.com,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
backnote.notelet.so,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
zippy.cloud,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
allegrolokalnie.pl-comtradeit.site,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
member-mailtech-support.com,0,0,1,4,0,0,1,1,1,1,1,1,1,1,1,1
pinkoliveentertainment.com,0,0,1,3,0,0,1,0,1,1,1,1,1,1,1,1
fb-appeal-form-8276f.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
forms.office.com,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,1
hrzkpj.com,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,1
services.runescape.com-oc.ru,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
amazno-pesdisd.cn,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
valocsfunes.ga,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
sbi.mx,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1
sites.google.com,0,0,1,3,0,0,0,0,0,1,1,0,0,1,1,1
urlz.fr,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
henchdecor.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1
onlineserveroffice365.mfs.gg,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
claut.net,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
www-office-com.office365.apps.maxsolutions.com.au,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
